date,portfolio,benchmark
2018-04-20,24898.303644526848,13717.800061354861
2018-04-23,25091.834800016277,13709.809253412548
2018-04-24,24754.336422605524,13471.734433558939
2018-04-25,24774.59950547354,13505.211275056292
2018-04-26,24817.71936531923,13638.957642036996
2018-04-27,24806.0564770444,13632.704966249898
2018-04-30,24666.13163682667,13549.690810713246
2018-05-01,24528.00299774468,13513.74641298042
2018-05-02,24582.951999505593,13416.135013987747
2018-05-03,24593.370415755464,13419.034091375808
2018-05-04,24966.673212845115,13605.407420039075
2018-05-07,25023.66208265358,13658.573235546699
2018-05-08,25185.41291491847,13660.194177947276
2018-05-09,25493.851995552985,13762.436215095113
2018-05-10,25726.991005686286,13872.900154000481
2018-05-11,25803.440844335415,13924.288409024224
2018-05-14,25783.226928819888,13962.554697222744
2018-05-15,25548.535340239396,13854.328315968989
2018-05-16,25559.326720500452,13889.386671538256
2018-05-17,25527.853744597276,13858.573432688341
2018-05-18,25342.118369174885,13859.19552409613
2018-05-21,25536.777843251595,14026.413256417425
2018-05-22,25414.68409430249,13926.105397836765
2018-05-23,25458.1655447372,13955.489359772657
2018-05-24,25284.68097843876,13913.40399985061
2018-05-25,25091.699614773002,13880.504345275625
2018-05-29,24663.026426629975,13660.88855462428
2018-05-30,25045.380698609057,13832.66573506288
2018-05-31,24843.154720305836,13691.388557307599
2018-06-01,25109.836661416222,13814.40275227258
2018-06-04,25290.63876409934,13914.486088426132
2018-06-05,25172.017493089246,13906.798659568254
2018-06-06,25468.954629554217,14101.051082575952
2018-06-07,25729.026656490892,14154.334087838211
2018-06-08,25733.233275434082,14196.457780857567
2018-06-11,25648.410143267676,14199.699665658725
2018-06-12,25710.359031109998,14198.813623495165
2018-06-13,25591.196015143374,14131.785464768542
2018-06-14,25502.860987522596,14117.2681732012
2018-06-15,25448.54869702142,14069.69898990098
2018-06-18,25236.596260077557,14011.935393178745
2018-06-19,25114.010785537015,13850.852051658558
2018-06-20,24970.726773392285,13827.070198086829
2018-06-21,24781.08765071774,13717.104589446504
2018-06-22,25034.24360427047,13783.942177917923
2018-06-25,24903.237749225234,13599.963024989565
2018-06-26,24835.05859562529,13616.958825105901
2018-06-27,24688.605696012175,13524.142348971156
2018-06-28,24701.155499789373,13579.355151875183
2018-06-29,24706.829502985096,13610.398389308964
2018-07-02,24630.07195951271,13630.456456284772
2018-07-03,24559.26296102212,13556.234818039906
