date,gross_return,turnover,cost,net_return
2016-05-03,-0.013183633419028184,0.0,0.0,-0.013183633419028184
2016-05-04,-0.0020171122287175984,0.0,0.0,-0.0020171122287175984
2016-05-05,0.002603626148331143,0.0,0.0,0.002603626148331143
2016-05-06,-0.0060373443010464985,0.0,0.0,-0.0060373443010464985
2016-05-09,0.01547742261012304,0.0,0.0,0.01547742261012304
2016-05-10,-0.0069745735263625095,0.0,0.0,-0.0069745735263625095
2016-05-11,-0.005753016481482262,0.0,0.0,-0.005753016481482262
2016-05-12,-0.008661506797962775,0.0,0.0,-0.008661506797962775
2016-05-13,0.012205838975279937,0.0,0.0,0.012205838975279937
2016-05-16,-0.00819323286111839,0.0,0.0,-0.00819323286111839
2016-05-17,0.017154760435468826,0.0,0.0,0.017154760435468826
2016-05-18,-0.0159604918086732,0.0,0.0,-0.0159604918086732
2016-05-19,0.005338388799342193,0.0,0.0,0.005338388799342193
2016-05-20,0.0030410258769641863,0.0,0.0,0.0030410258769641863
2016-05-23,0.01338535773738851,0.0,0.0,0.01338535773738851
2016-05-24,0.014766704449051146,0.0,0.0,0.014766704449051146
2016-05-25,-0.0018697307902888253,0.0,0.0,-0.0018697307902888253
2016-05-26,0.003063353707532091,0.0,0.0,0.003063353707532091
2016-05-27,-0.005198793628728772,0.0,0.0,-0.005198793628728772
2016-05-31,0.002942627204816892,1.6457942019492922,0.0024686913029239384,0.00047393590189295353
2016-06-01,0.003780987120881511,0.0,0.0,0.003780987120881511
2016-06-02,-0.004314609200196502,0.0,0.0,-0.004314609200196502
2016-06-03,0.007203983559600879,0.0,0.0,0.007203983559600879
2016-06-06,0.0006756554722997836,0.0,0.0,0.0006756554722997836
2016-06-07,0.0028775901806140872,0.0,0.0,0.0028775901806140872
2016-06-08,-0.005167821876589077,0.0,0.0,-0.005167821876589077
2016-06-09,-0.008914334485091935,0.0,0.0,-0.008914334485091935
2016-06-10,-0.009042746980244596,0.0,0.0,-0.009042746980244596
2016-06-13,-0.002489047000451512,0.0,0.0,-0.002489047000451512
2016-06-14,-0.005660611371560029,0.0,0.0,-0.005660611371560029
2016-06-15,0.00531128221113492,0.0,0.0,0.00531128221113492
2016-06-16,-0.007215406034209282,0.0,0.0,-0.007215406034209282
2016-06-17,0.00838606362159036,0.0,0.0,0.00838606362159036
2016-06-20,0.001384334091692121,0.0,0.0,0.001384334091692121
2016-06-21,-0.0026191971289040057,0.0,0.0,-0.0026191971289040057
2016-06-22,0.019605072214857775,0.0,0.0,0.019605072214857775
2016-06-23,-0.042960548447099414,0.0,0.0,-0.042960548447099414
2016-06-24,-0.020821947407073865,0.0,0.0,-0.020821947407073865
2016-06-27,0.022005575577768444,0.0,0.0,0.022005575577768444
2016-06-28,0.018773940268912402,0.0,0.0,0.018773940268912402
2016-06-29,0.00950454217336089,0.0,0.0,0.00950454217336089
2016-06-30,-0.001261209092835862,1.6457942019492922,0.0024686913029239384,-0.0037299003957598003
2016-07-01,-0.017339676229028152,0.0,0.0,-0.017339676229028152
2016-07-05,0.006692119040747096,0.0,0.0,0.006692119040747096
2016-07-06,0.005097246614266692,0.0,0.0,0.005097246614266692
2016-07-07,0.019315468097938833,0.0,0.0,0.019315468097938833
2016-07-08,0.007624563416258175,0.0,0.0,0.007624563416258175
2016-07-11,0.014631988148902916,0.0,0.0,0.014631988148902916
2016-07-12,0.001260714546485367,0.0,0.0,0.001260714546485367
2016-07-13,0.015003730331040039,0.0,0.0,0.015003730331040039
2016-07-14,-0.0004060892022005515,0.0,0.0,-0.0004060892022005515
2016-07-15,0.005189931310171363,0.0,0.0,0.005189931310171363
2016-07-18,-0.0049549924495506945,0.0,0.0,-0.0049549924495506945
2016-07-19,0.012472692992028134,0.0,0.0,0.012472692992028134
2016-07-20,-0.007654922398282697,0.0,0.0,-0.007654922398282697
2016-07-21,0.005405470629565788,0.0,0.0,0.005405470629565788
2016-07-22,-0.0025599524713122144,0.0,0.0,-0.0025599524713122144
2016-07-25,0.00024653931138136616,0.0,0.0,0.00024653931138136616
2016-07-26,0.013205013217263473,0.0,0.0,0.013205013217263473
2016-07-27,0.002470081636656422,0.0,0.0,0.002470081636656422
2016-07-28,-0.001995321806226762,0.0,0.0,-0.001995321806226762
2016-07-29,0.0011567437132353608,0.0,0.0,0.0011567437132353608
2016-08-01,-0.008258974680564954,0.0,0.0,-0.008258974680564954
2016-08-02,0.01093903659689244,0.0,0.0,0.01093903659689244
2016-08-03,0.002557920089614399,0.0,0.0,0.002557920089614399
2016-08-04,0.020282353358409354,0.0,0.0,0.020282353358409354
2016-08-05,0.003395427728775435,0.0,0.0,0.003395427728775435
2016-08-08,-7.031359933356343e-05,0.0,0.0,-7.031359933356343e-05
2016-08-09,-0.007437086209014495,0.0,0.0,-0.007437086209014495
2016-08-10,0.0056432870212223,0.0,0.0,0.0056432870212223
2016-08-11,-0.0021305329554836792,0.0,0.0,-0.0021305329554836792
2016-08-12,0.007725289701329151,0.0,0.0,0.007725289701329151
2016-08-15,-0.002305662065276383,0.0,0.0,-0.002305662065276383
2016-08-16,0.0018944939156172015,0.0,0.0,0.0018944939156172015
2016-08-17,0.0002909124714973968,0.0,0.0,0.0002909124714973968
2016-08-18,0.00022048707722443106,0.0,0.0,0.00022048707722443106
2016-08-19,-0.002209038700668571,0.0,0.0,-0.002209038700668571
2016-08-22,0.002212391942402571,0.0,0.0,0.002212391942402571
2016-08-23,-0.0034443525777371068,0.0,0.0,-0.0034443525777371068
2016-08-24,0.00030155189722823057,0.0,0.0,0.00030155189722823057
2016-08-25,-0.0019356752286915169,0.0,0.0,-0.0019356752286915169
2016-08-26,0.005487191164742134,0.0,0.0,0.005487191164742134
2016-08-29,0.0023334247986448644,0.0,0.0,0.0023334247986448644
2016-08-30,-0.0007558776844451369,0.0,0.0,-0.0007558776844451369
2016-08-31,0.002922234396301628,0.8429113068829079,0.001264366960324362,0.001657867435977266
2016-09-01,0.0037786569691321673,0.0,0.0,0.0037786569691321673
2016-09-02,0.0023436152404801903,0.0,0.0,0.0023436152404801903
2016-09-06,0.0035459888846246634,0.0,0.0,0.0035459888846246634
2016-09-07,-0.00892929601096525,0.0,0.0,-0.00892929601096525
2016-09-08,-0.02120163211362862,0.0,0.0,-0.02120163211362862
2016-09-09,0.01488947335849085,0.0,0.0,0.01488947335849085
2016-09-12,-0.007899761566604574,0.0,0.0,-0.007899761566604574
